YORF	NAME	GWEIGHT	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YMR157C	YMR157C             unknown                       unknown                                      S0004766	1	-0.29	 0.16	-0.51	 0.10	-0.43	-0.03	-0.18	-0.30	-0.23	-0.15	-0.40	-0.14	-0.18	-0.47	-0.51	-0.54	-0.10	-0.38	-0.64	-0.07	-0.22	 0.01	 0.08	-0.32	 0.39	 0.40	 0.60	 0.39	 0.41	 0.67	 1.23	 0.77	 0.12	 0.34	 0.59	-0.04	 0.81	 0.39	 1.06	 0.56	 0.73	 0.87	 0.59	-0.18	-0.60	-0.36	-0.30	-0.06	-0.23	-0.01	 0.12	-0.12	 0.32	 0.37	 0.11	-0.09	 0.33	-0.54	-0.54	-0.38	-0.23	-0.23	-0.51	-0.34	-0.18	-0.60	 0.03	-0.22		-0.22	-0.64	 0.44	-0.69	-0.17	-0.25	 0.03	 0.04	-0.03	 1.20	 0.20
YLR178C	YLR178C   TFS1      cell cycle                    suppresses cdc25 mutations                   S0004168	1	-0.34	 0.66	 0.96	 0.39	 0.26	-0.51	-0.30	-0.71	-0.67	-0.47	-0.58	-0.25	-0.10	-0.67	-0.22	-0.49	-0.18	-0.60	 1.67	 0.31	 0.36	 0.52	-0.56	 0.14	-0.30	-0.10	-0.38	 0.34	-0.01	-0.07	 0.50	-0.27	 0.48	 0.75	 0.54	 0.69		 0.49	 0.50	 0.70	 1.41	 1.57	 1.96	 1.25	 0.43	-0.07	-0.18	-1.15	-1.56	-1.36	-0.58	 0.30	-0.76	-1.25	 0.51	 1.00	 0.31	 0.38	 0.26	 0.62	-0.38	 0.72	-0.10	-1.09	-1.89	-2.32	-1.64	 1.51	-0.86	-0.27	-0.45	-1.18	 0.07	-0.22	-0.22	-0.06	 0.76	 1.24	 2.65	 1.79
YOL010W	YOL010W             unknown                       putative RNA 3'-terminal phosphate cyclase   S0005370	1	 0.12	-1.40	-0.94	-0.56	-0.07	 0.06	 0.06	-0.29	-0.25	-0.25	-0.22	-0.54	-0.03	-0.62	-0.36	-0.32	-0.04	-0.06		-0.12	-0.07	-0.62		-0.60		-0.32			 0.28		 0.75			-0.36	 0.51	-1.22	 0.63	-0.56	 0.65		-0.56	-0.07	-0.36	-0.74	-0.18	-0.22	-0.03	 0.33	 0.33	-0.10	-0.04	-0.40	-0.15	-0.32	-0.76	-0.49	-0.51	-0.20	 0.01	-0.74	-0.36	-2.18	-2.18	-1.74	-1.89	-1.56	-1.18	-0.76	-0.89	 0.25	-3.47	-3.32	-0.84	-0.06	-0.36	-0.49	-0.81	-0.84	-1.74	-2.12
YFL047W	YFL047W             unknown                       unknown; similar to Rga2p                    S0001847	1	 0.03	-0.12	-0.22	-0.30	-0.17	-0.09	-0.42	-0.15	-0.09	-0.30	 0.08	-0.04	 0.08	-0.07	-0.18	-0.09	-0.42	-0.12	-0.54	-0.47	-0.32	-0.56	-0.51	-0.71	-0.14	-0.42	 0.00	 0.70	-0.30	-0.25	-0.56	-0.10	-0.51	-0.42	-0.36	-0.64	 0.07	-0.47	 0.53	 0.12	 0.32	 0.20	 0.18	-0.69	-0.09	 0.12	 0.18	-0.12	-0.04	-0.09	-0.04	 0.10	 0.28	 0.15	 0.12	-0.03	 0.11	-0.10	 0.71	 0.04	-0.22	 0.01	-0.54	-0.89	-1.00	-0.86	-0.54	-0.04	-0.18	 0.37	-1.00	-0.89	-0.49	 0.06	 0.52	 0.44	-0.12	-0.18	 0.14	-0.36
YML052W	YML052W   SUR7      endocytosis (putative)        suppresses rvs167 mutation                   S0004516	1																			-1.15	-2.56	-2.12	 0.40	 1.20	 0.97	 1.14	 0.60	 0.77	-0.09	-0.97	-1.15	-0.84	-0.45	 0.06	-0.32	-0.43	 0.46	 0.11	 0.55	 1.63	 0.58	-0.94	-0.94	-0.79															 1.05	 1.73																					
YDL089W	YDL089W             unknown                       unknown                                      S0002247	1	 0.06	 0.06	 0.33	 0.23	-0.03	-0.45	-0.12	-0.42	-0.10	-0.06	 0.11	-0.07	 0.10	-0.27	-0.40	-0.38	-0.49	-0.18	-0.64	-0.30	-0.42	-0.84	-0.43	-1.09	-0.34	-0.18	-0.18	-0.09	-0.01	-0.20	-0.09	-1.15	-1.29	-0.47	-0.62	-0.71	-0.47	-0.42	-0.04	-0.15	-0.01	-0.15	-0.04	-0.06	-0.14	-0.36	-0.62	-0.67	-0.54	-0.43	-0.51	 0.01	-0.25	-0.22	 0.03	-0.03	-0.36	-0.15	 0.36	-0.47	-0.23	 0.14	-0.01	-0.29	 0.25	 0.50	 0.32	-0.12	 0.36	-0.14	 0.34	 0.63	 0.40	-0.27	-0.38	-0.49	-0.49	-0.34	 0.51	 0.33
YIR016W	YIR016W             unknown                       unknown                                      S0001455	1	-0.17	 0.26	-0.30	-0.09	-0.09	-0.18	-0.29		-0.06	-0.25	-0.07	-0.07	-0.03	-0.36	-0.10	 0.10	-0.34	-0.17	 0.30	 0.14	 0.11	 0.20	 0.03	 0.07	-0.34	 0.24	-0.23	 0.21	 0.23	-0.27	 0.24	-0.06	-0.38	 0.23	-0.34	 0.04	-0.23	 0.23	-0.14	 0.18	 0.78	 0.66	 0.72	 0.32	 0.12	 0.23	-0.12	-0.49	-0.40	-0.30	-0.14	 0.10	-0.56	-0.18	 0.48	 0.45	 0.00	 0.30	 0.28	-0.01	 0.00	 0.74	 0.25	 0.42	 0.30	 0.01	 0.03	-0.29	-0.18	-0.45	 1.03	 1.24	 0.50	-0.49	-0.17	 0.38	-0.03	 0.14	 1.12	 0.55
YHR037W	YHR037W   PUT2      amino acid biosynthesis       delta-1-pyrroline-5-carboxylate dehydrogenaseS0001079	1	 0.06	 0.04	 0.42	 0.46	 0.26		 0.48	 0.15	 0.36	 0.03	 0.15	 0.14	 0.16	-0.38	 0.19	-0.15	 0.10	-0.06	-0.27	-1.29	-0.74	 0.06	-0.06	 0.37	 0.03	 0.24	-0.04	 0.24	 0.43	-0.07	 0.41	 0.04	 0.30	 0.54	 0.28	 0.67	 0.38	 0.65	 0.07	 0.18	 1.16	 1.01	 1.26	-0.51	 0.14	-0.09	 0.19	-0.07	-0.03	 0.18	 0.10	 0.31	 0.33	-0.10	 0.31	 0.44	 0.32	-0.40	-0.81	 0.15	-0.56	-0.45	-0.49	-0.30	-0.14	 0.01	 0.07	-0.29	 0.06	-0.42	-0.89	-0.56	-0.81	-0.07	 0.01	-0.06	-0.42	-0.45	-0.81	-0.79
YKL094W	YKL094W   YJU3      unknown                       unknown; similar to E.coli hypothetical proteS0001577	1	-0.12	-0.18	-0.27	-0.25	-0.17	-0.09	 0.06	-0.06	 0.07	-0.32	-0.14	-0.15	 0.03	-0.45	-0.06	-0.07	-0.30	-0.36	 0.28	 0.14	 0.04	 0.53	 0.15	-0.04	-0.15	 0.19	-0.25	-0.22	-0.25	-1.09	 0.00	-1.47	-0.54	 0.36	 0.10	 0.32	 0.06	-0.03	-0.18	-0.10	-0.32	-0.03	 0.39	 0.77	 0.01	 0.28	 0.01	-0.30	-0.25	-0.17	 0.26	 0.38	 0.11	-0.09	 0.39	 0.28	 0.16	 0.00	 0.11	-0.07	-0.09	-0.76	-1.18	-1.60	-0.38	-0.20	-0.04	 0.50	 1.10	 1.51	-1.60	-2.40	 1.10	 0.06	 0.04	 0.16	 0.18	 0.04	 1.34	 0.76
YGR058W	YGR058W             unknown                       unknown                                      S0003290	1	 0.06	 0.58	-0.18	 0.08	-0.25	-0.06	-0.14	 0.30	 0.08	-0.43	 0.08	 0.12	 0.10	-0.07	 0.07	 0.11	-0.20	-0.14	 0.30	 0.41	 0.54	 0.11	 0.11	 0.10	 0.07	 0.29	 0.26	-0.18	 0.31	-0.06	 0.21	 0.31	-0.60	 0.06	 0.01	 0.07	-0.09	 0.14	-0.17	-0.43	 0.42	-0.25	 0.33	 0.15	-0.14	 0.14	 0.24	 0.21	 0.12	 0.16	-0.07	-0.20	-0.25	 0.01	-0.23	-0.32	 0.12	-0.04	 0.11	-0.20	-0.12	 0.10	-0.12	 0.19	 0.72	 0.36	 0.68	-0.97	 0.04	-0.06	 0.54	 0.98	 0.67	 0.00	-0.32	-0.17	-0.58	-0.74	-0.06	-0.12
YBR222C	YBR222C   FAT2      transport                     peroxisomal (putative) fatty acid transporterS0000426	1	-0.54	-0.74	-0.23	-0.56	 0.04	-0.17	 0.40	 0.06	 0.20	-0.22	-0.14	 0.23	-0.07	 0.10	 0.07	-0.04	 0.03	 0.61	-0.69	-0.64	 0.12	 0.23	 0.62	 0.41	 0.40	 0.10	 0.37	-0.56	-0.10	 0.11	 0.08	 0.59	 0.61	-0.20	 0.49	-0.09	 0.94	 0.20	 0.97	 0.24	-0.06	-0.09	 0.08	-1.36	-0.12	-0.42	-0.86	-0.42	-0.43	-0.20	 0.16	 0.70	 0.81	-0.15	 0.68	 0.36	 0.49	 0.10	-0.40	-0.27	-0.17	-0.04	-0.51	-1.56	-2.06	-1.89	-1.74	 0.91	-0.49	-0.34	-1.32	-2.25	 0.40	 0.24	 0.34	 0.48	 0.08	 0.30	 0.82	 1.49
YHL006C	YHL006C             unknown                       unknown                                      S0000998	1	 0.21	-0.14	 0.42	-0.23	 0.11	-0.09	-0.25	 0.04	 0.07	-0.36	 0.03	-0.29	-0.06	-0.14	 0.00	 0.03	-0.27	-0.06	-0.43	-0.38	-0.25	-1.00	 0.01	-0.92	-0.04	-1.03	-0.27	-0.51	-1.36	-0.23	-1.94	-0.54	-0.89	-1.69	-0.09	-1.64	-0.30	-1.40	-0.07	 0.25	-1.89	-0.36	-0.86	-0.09	-0.23	-0.30	-0.04	-0.22	-0.17	-0.04	-0.29	-0.51	-0.47	-0.27	-0.76	-0.22	-0.42	-0.43	 1.59	 0.81	-0.51	-0.23	 0.23	-0.18		-0.25	-0.10	 0.14	 0.24	 0.07	 0.15	-0.49	 0.34	-0.18	-0.18	-0.03	-0.38	-0.23	-0.27	-0.25
YOR042W	YOR042W             unknown                       unknown                                      S0005568	1	-0.17	-0.18	-0.01	-0.20	-0.22	-0.38	-0.01	-0.23	-0.07		-0.12	 0.01	-0.22	-0.51	-0.43	-0.27	-0.09	 0.38	-0.38	-0.47	-0.32	-0.67	-1.47	-0.32	-0.49	-0.32	-1.12	-0.27	-0.03	-0.74	-0.58	-1.15	-1.40	-0.25	-0.79	-0.29	-0.89	-0.18	-1.18	-0.42	 0.48	 0.11	 0.32	 0.58	-0.15	-0.36	 0.01	-0.30	-0.01	-0.30	 0.14	 0.32	 0.21	-0.06	 0.51	 0.70	 0.49	-0.38	-0.60	 0.28	-0.36	-0.17	-0.30	-0.67	-1.12	-1.56	-1.09	 0.24	-0.14	-0.56	-0.22	-0.17	-0.36	-0.34	 0.14	 0.29	-0.12	 0.01	 1.05	 0.60
YGL027C	YGL027C   CWH41     cell wall biogenesis          beta-1,6-glucan assembly protein             S0002995	1	-0.06	-0.40	 0.29	 0.24	 0.81	 0.41	 0.66	 0.03		-0.14	 0.25	 0.26	 0.34	 0.12	 0.50	 0.21	 0.21	-0.38	-0.62	-0.47	 0.10	-0.09	-0.34	-0.43	-0.94	-0.67	-1.09	-0.89	-0.12	-0.36	 0.14	-0.06	 0.25	 0.16	-0.94	-0.29	-0.97	-0.71	-1.09	-0.81	-0.09	-0.14	-0.12	-1.12	-0.69	-0.74	-0.38	-0.23	 0.01	 0.12	 0.08	 0.14	-0.10	-0.04	 0.07	-0.22	-0.27	 1.34	 0.51	-0.09	-0.25	-0.17	 0.50	 0.03	-0.36	-0.76	-0.49	 0.20	-0.92	-1.03	 0.78	 0.38	-0.86	-0.04	 0.24	 0.37	 0.23	 0.33	-0.30	-0.15
YDR477W	YDR477W   SNF1      glucose derepression          protein kinase                               S0002885	1	-0.30	-0.09	-0.10	-0.12	-0.04	-0.09	-0.49	 0.12	 0.08	-0.09		 0.14	-0.12	 0.10	 0.25	 0.49	-0.30	-0.10	-0.23	-0.23	-0.45	-0.43	 0.08	-0.49	-0.84	-0.42	-0.03	 0.45	-0.40	-0.09	-0.23	 0.38	-0.62	-0.14	-0.38	-0.43	-0.36	-0.58	 0.03	-0.07	-0.09	-0.30	-0.23	 0.11	 0.16		 0.34	 0.08	 0.19	 0.28	 0.41	-0.12	 0.10	 0.03	 0.15	-0.01	 0.16			 0.54	 0.10	 0.34	 0.29	 0.25	-0.27	-0.36	-0.18	 0.03	-0.29	-0.29	 0.93	 0.96	-0.04	 0.12	 0.19	 0.12	 0.04	-0.09	 0.06	 0.23
YNR063W	YNR063W             unknown                       unknown; similar to transcription factors, haS0005346	1	-0.15	-0.54	-0.47	-0.15	 0.01	-0.20	 0.07	-0.15	-0.15	-0.32	-0.47	-0.38	-0.23	-0.76	-0.34	-0.20	-0.17			-0.12	-0.07	-0.62		-0.60		-0.32			 0.28		 0.75			-0.36	 0.51	-1.22	 0.63	-0.56	 0.65		-0.56	-0.07	-0.36	-0.74	-0.69	-0.69	-0.60	-0.32	-0.69	-0.74	-0.49	-0.22	-0.56	-0.79	-0.07	-0.64	-0.49	 0.48	 1.02	-0.81	-0.34	-0.42	-0.17		 0.14	-0.43	-0.15	-0.38	-0.62	-0.47	-0.36	 0.12	-0.45	-0.29	-0.34	-0.27	-0.47	-0.32	-0.14	-0.22
YLR461W	YLR461W   PAU4      unknown                       unknown; seripauperin family                 S0004453	1	-0.01	-0.23	 0.21	-0.01	 0.03	-0.22	-0.18	-0.51	-0.10	-0.58	-0.12	-0.18	-0.07	-0.22	-0.04	-0.20	-0.49	-0.45	 0.87	 0.44	-0.15	-0.49	 0.01	-0.49	 0.06	-0.58	 0.11	-0.64	-0.23	-0.06	-0.40	-0.62	-0.22	-0.58	-0.04	-0.14	 0.25	-0.32	-0.04	-0.06	-0.36	-0.45	-0.38	-0.34	-0.38	-0.22	-0.12	-0.20	-0.32	-0.06	-0.17	-0.18	-0.23	-0.14	-0.14	-0.20	-0.23	 0.04		-0.32	-0.18	 0.11	 0.29	 0.04	 0.57	 0.44	 0.72	-0.17	 0.16	 0.16	 0.49	 0.77	 0.46	 0.14	 0.03	-0.12	-0.23	-0.36	-0.09	-0.43
YFL048C	YFL048C   EMP47     secretion                     unknown; ER/Golgi membrane protein           S0001846	1	-0.22	-0.20	-0.22	-0.27	-0.25	-0.07	-0.42	-0.32	 0.01	 0.16	-0.04	-0.18	-0.17	-0.45	-0.18	-0.09	-0.22	-0.14	 0.00	-0.06	 0.00	-0.10	-0.58	-0.18	 0.16	-0.07	-0.10	 0.58	-0.04	-0.04	 0.04	-0.03	-0.04	-0.23	 0.12	-0.22	-0.01	-0.09	-0.04	-0.07	 0.21	-0.09	 0.18	-0.45	 0.14	-0.94	-0.03	-0.29	-0.04	-0.15	 0.25	 0.12	 0.23	 0.18	 0.15	 0.31	 0.33	-0.18	 0.11	-0.01	-0.06		-0.60	-0.97	-0.67	-0.42	-0.09	 0.48	 0.31	 0.50	-0.64	-0.45	 0.36	-0.32	-0.03	 0.21	 0.04	-0.17	 0.32	-0.18
YMR084W	YMR084W             unknown                       unknown                                      S0004689	1																			-0.25	 0.49	-0.15	-0.54	 0.52	-0.45	 0.90	-0.30	 0.20	 0.29	 0.33	-0.56	 1.21	 0.70	-0.42	 0.08	 0.61	-1.22	 0.67	-0.03	 0.57	 1.06	-0.92	-0.10	-0.38															 0.39	 1.01																					
YEL069C	YEL069C   HXT13     transport                     hexose permease                              S0000795	1	 0.08	 0.16	 0.37	 0.34	-0.09	-0.04	 0.01	 0.04	-0.14	-0.06	 0.06	 0.10	 0.01	-0.23	-0.23	 0.04	 0.06	-0.12	 0.31	 0.52	 0.69	-0.04	 0.70	 0.36	 1.20	 0.28	 0.37	 0.45	 0.55	 0.44	 0.38	 0.42	-0.64	 0.23	 0.21	 0.25	 0.06	-0.01	 0.59	 0.68	 0.29	 0.37	 0.11	 0.30	 0.06	-0.12	 0.10	 0.00	-0.15	-0.14	-0.07	-0.18	-0.23	-0.23	-0.30	-0.49	-0.22	-0.09	 2.19	 0.20	-0.07	 0.58	-0.17	 0.01	 0.46	 0.54	 0.57	-0.18	 0.11	 0.20	 0.24	 0.39	 0.84	-0.54	-0.20	 0.39	-0.18	-0.06	 0.83	 0.87
YML053C	YML053C             unknown                       unknown                                      S0004517	1	-0.32	-0.42	-0.43	-0.20	 0.23	 0.18	-0.09	 0.06	-0.10	-0.58	-0.12	-0.43	-0.12	-0.29	 0.01	 0.16	-0.40	-0.40	 0.52	 0.45	 0.49	 0.52	-0.06	-0.36	-0.36	-0.10	-0.51	 0.01	-0.07	-0.36	 0.33	-0.69	-0.20	 0.39	-0.30	-0.14	-0.23	-0.15	-0.43	-0.86	 0.07	-0.12	 0.10	 0.20	-0.34	-0.67	-0.27	-0.43	-0.92	-0.45	-0.42	-0.42	-0.51	-0.45	-0.36	-0.23	-0.43	 0.24	 0.33	 0.26	 0.11	-0.07	 0.80	 2.25	 1.91	 0.53	 1.11	-1.25	-0.23	-0.64	 2.30	 2.70	 0.52	 0.24	 0.20	 0.29	 0.00	-0.12	 0.51	-0.09
YML126C	YML126C   HMGS      sterol metabolism             3-hydroxy-3-methylglutaryl coenzyme A synthasS0004595	1	 0.06	-0.34	-0.25	 0.01	-0.01	 0.06	 0.28	 0.12	 0.20	-0.07	 0.12	 0.16	 0.34	-0.01	 0.31	 0.12	-0.09	-0.01	-0.58	-0.64	-0.56	 0.16	 0.28	 0.30	 0.01	 0.19	 0.31	-0.54	 0.33	 0.21	 0.39	 0.19	 0.96	 0.21	 0.04	 0.23	-0.01	 0.12	-0.25	-0.76	-0.12	-0.14	-0.04	-0.76	 0.36	 0.14	 0.30	-0.17	-0.03	-0.15	-0.04	 0.03	 0.00	 0.10	 0.26	 0.04	 0.14	 0.51	-0.47	-0.17	 0.25	 0.58	 0.84	-0.06	-0.97	-1.64	-1.64	 0.91	-0.74	-1.09	 0.23	 0.20	 0.01	 0.46	 0.70	 0.66	-0.27	-0.17	-1.15	-0.94
YIR017C	YIR017C   MET28     sulfur amino acid metbolism   transcriptional activator                    S0001456	1	-0.29	 1.07	 0.00	-0.03	-0.43	 0.63	 0.41		-0.20	 0.19	-0.49	 0.19	-0.12	-0.43	-0.36	 0.03	-0.17	-0.03	-0.47	-0.22	 0.80	 0.52	 0.33	-0.18	 0.28	-0.54	-0.17	 0.58	-0.38	 0.29	 0.75	 0.41	 0.19	 0.12	 0.93	-0.22	 0.06	-0.23	 0.06	 1.13	 0.48	 0.41	 0.50	 0.42	 0.88	-0.09	-0.18	-0.17	-0.25	-0.22	-0.23	-0.23	-0.23	 0.01	-0.06	-0.43	 0.01	 0.07	-0.01	-0.40	-0.23	 1.29	 1.31	 0.57	 0.80	-0.03	 0.16	 0.44	-0.47	-0.69	 1.59	 1.60	 0.92	-0.64	-0.51	-0.22	-0.47	-0.51	 0.60	-0.04
YPR022C	YPR022C             unknown                       unknown                                      S0006226	1	 0.06	 0.66	 0.07	-0.14	-0.12	-0.04	-0.01	-0.04	-0.07	-0.12	-0.09	-0.25	-0.14	-0.47	 0.11	 0.01	-0.62	-0.18																										-0.27	-0.49	-0.22	 0.26	 0.01	-0.09	 0.08	-0.30	 0.10	 0.04	-0.15	-0.43	-0.62	-0.34	 0.00	 0.88	 0.11	-0.40	-0.74	-0.47	 0.00	 0.15	 0.00	-0.09	-1.06	 0.01	-0.40	-0.30	-0.43	-0.42	-0.04	-0.20	-0.30	-0.42	-0.74	-0.54	-0.22
YKL168C	YKL168C   KKQ8      unknown                       protein kinase                               S0001651	1	-0.40	-0.14	-0.12	-0.74	-0.32	-0.42	-0.22	-0.56	-0.32	-0.10	-0.25	-0.20	-0.03	-0.69	-0.43	-0.45	-0.17	-0.14	-0.25	-0.14	-0.36	-0.42	-0.45	-0.07	-0.47	 0.19	-0.43	-0.84	-0.09	-0.51	 0.10	-0.23	-0.86	 0.03	-0.47	-0.27	-0.71	-0.43	-0.81	-0.40	 0.04	-0.10	-0.20	 0.56	-0.10	-0.47	 0.32	-0.07	-0.38	-0.74	-0.25	-0.03	-0.12	-0.27	 0.06	-0.20	 0.00	 0.00	 0.72	-0.54	-0.49	-0.51	-0.92	-0.51	 0.28	 0.19	 0.37	-0.32	 0.37	 0.50	-0.34	-0.36	 0.54	-0.34	 0.04	 0.25	 0.14		 0.69	 0.33
YOR116C	YOR116C   RPO31     transcription                 RNA polymerase III 160 kD subunit            S0005642	1	 0.08	-0.97	-0.29	-0.23	 0.31	 0.45	-0.06	 0.25	 0.14	-0.06	 0.39	-0.17	-0.18	-0.04	 0.03	 0.03	 0.25	-0.12	 0.66	 0.38	 0.11	 0.14	 0.38	 0.41	 0.08	 0.30	 0.48	-0.20	 0.04	 0.01	-0.30	-0.22	 0.31	-0.30	-1.32	-0.04	 0.74	-0.09	 0.77	 0.20	-0.60	-0.71	-0.86	-1.00	-0.58	-0.42	-0.10	 0.14	-0.32	-0.06	-0.17	-0.43	-0.06	-0.34	-0.42	-0.60	-0.47	 0.06	 0.00	-0.71	-0.69	-0.62	-0.76	-0.64		-0.94	-0.71	-0.40	-0.94	-1.43	-0.49	-0.56	-1.12	-0.36	-0.29	-0.64	-0.84	-1.12	-1.94	-1.64
YNR064C	YNR064C             unknown                       unknown; similar to Rhodobacter capsulatus bcS0005347	1	-0.25	-0.03	-0.42	-0.23	-0.25	-0.22	-0.15	-0.38	-0.32	-0.23	-0.67	-0.23	-0.49	-0.38	-0.69	-0.34	-0.22	 0.58	-0.20	-0.17	-0.25	-0.58	-0.64	 0.07	 0.18	-1.15	-0.51	-0.60	-0.62	-0.76	-1.51	-1.18	-1.15	-0.71	-0.40	-0.81	-0.40	-0.84	-0.38	-0.58	-0.84	-0.56	-0.71	-0.06	-0.40	-0.23	-0.29	 0.07	-0.10	-0.23	-0.25	-0.27	-0.20	-0.10	-0.18	-0.22	-0.12	-0.71	-0.03	-0.69		 0.70	-0.32	-0.01	-0.04	-0.29	-0.14	-0.27	-0.45	-0.79	-0.71	 0.24	 0.24	-0.27	-0.38	-0.18	-0.49	-0.60	-0.23	
YHR079BC	YHR079BC	1	 0.03	 0.19	 0.36	 0.00	 0.11	 0.08	-0.06	 0.03	 0.06	-0.10	 0.00	 0.24	 0.01	-0.42	-0.10	 0.18	-0.18	-0.12	-0.74	-0.17	-0.62	-1.00	-0.09	-0.86	 0.42	-0.42	 0.29	-0.60	-0.58	 0.25	-0.09	-0.38	-1.00	-0.64	 0.64	-0.60	-0.20	-0.34	 0.56	 0.36	-0.43	-0.67	-0.56	-0.15	-0.64	-0.17	-0.34	-0.36	-0.56	-0.56	-0.51	-0.25	-0.60	-0.40	-1.25	-0.32	-0.29	-0.12	 1.26	-0.03	-0.17	 0.84	 1.43	 2.27	 2.21	 1.48	 1.56	-0.74	 0.11	-1.03	 2.26	 2.22	 0.36	-0.06	-0.03	 0.03	-0.17	-0.47	-0.18	-0.23
YLR179C	YLR179C             unknown                       unknown; similar to Cdc25p-dependent nutrientS0004169	1	 0.26	-0.27	 0.37	 0.00	 0.46	 0.04	 0.48	-0.01	 0.36	-0.10	 0.45	-0.34	-0.04	-0.36	 0.37	-0.25	 0.28	-0.60	 0.48	 0.20	 0.30	 0.39	 0.36	 0.42	-0.79	 0.06	-0.23	-1.12	 0.18	-0.27	 0.39	-0.12	 0.01	 0.12	-0.14	 0.15	-0.17	 0.31	-0.42	-0.10	-0.14	 0.06	 0.18	-1.51	-0.49	-0.58	-0.47	 0.06	-0.03	 0.20	 0.06	 0.04	-0.07	-0.38	-0.01	-0.40	-0.42	-0.64	-0.92	-1.15	-0.04	-0.25	-0.32	-1.25	-1.51	-1.22	-1.25	-0.69	-0.15	 0.07	-0.97	-1.40	-2.25	-0.10	 0.01	-0.34	-0.54	-0.58	-1.56	-1.79
YOL011W	YOL011W             unknown                       unknown; similar to phospholipases           S0005371	1	-0.32	-0.54	 0.82	 0.16	-0.15	-0.51	-0.01	-0.69	-0.23	 0.04	 0.14	 0.16	-0.14	-0.36	-0.29	-0.56	-0.38	-0.04	 1.39	 1.20	-0.09	 0.24	-0.32	 0.03	-0.07	 0.10	-0.20	-0.47	 0.68	 0.24	 0.30	-0.20	 0.15	 0.14	 0.03	-0.20	-0.15	-0.15	-0.15	 0.63	-0.18	-0.30	-0.54	-1.06	-0.43	-0.71	-0.49	-0.27	-0.10	-0.25	-0.01	 0.10	 0.24	-0.27	 0.07	 0.16	 0.08	 1.53	 1.09	-0.29	-0.51	 0.82	 0.46	 0.63	 0.64	 0.37	 0.19	-0.23	-0.29	-0.69	 1.52	 1.42	-1.69	-0.10	-0.27	-0.04	-0.22	-0.34	-0.40	-0.40
